Nom,EURO STOXX 50® (Gross Return EUR)
ISIN,CH0102173264
Symbole,SX5GT
Source,https://stoxx.com/index/sx5gt/?factsheet=true
Date,Close
2002-08-26,604.96
2002-08-27,625.13
2002-08-28,595.95
2002-08-29,582.25
2002-08-30,591.54
2002-09-02,576.23
2002-09-03,547.91
2002-09-04,553.27
2002-09-05,548.36
2002-09-06,571.65
2002-09-09,559.99
2002-09-10,576.37
2002-09-11,594.56
2002-09-12,565.53
2002-09-13,552.57
2002-09-16,549.4
2002-09-17,544.4
2002-09-18,520.23
2002-09-19,508.35
2002-09-20,503.93
2002-09-23,484.16
2002-09-24,477.55
2002-09-25,488.66
2002-09-26,518.12
2002-09-27,511.61
2002-09-30,481.3
2002-10-01,494.87
2002-10-02,515.65
2002-10-03,503.31
2002-10-04,485.74
2002-10-07,482.0
2002-10-08,473.91
2002-10-09,469.48
2002-10-10,488.03
2002-10-11,513.63
2002-10-14,506.35
2002-10-15,542.74
2002-10-16,533.95
2002-10-17,553.95
2002-10-18,551.97
2002-10-21,556.88
2002-10-22,547.63
2002-10-23,524.1
2002-10-24,539.36
2002-10-25,536.58
2002-10-28,547.85
2002-10-29,520.55
2002-10-30,539.18
2002-10-31,550.29
2002-11-01,543.44
2002-11-04,566.52
2002-11-05,571.24
2002-11-06,563.42
2002-11-07,543.2
2002-11-08,535.47
2002-11-11,532.04
2002-11-12,536.31
2002-11-13,532.24
2002-11-14,551.92
2002-11-15,554.11
2002-11-18,562.18
2002-11-19,557.33
2002-11-20,556.0
2002-11-21,577.79
2002-11-22,578.67
2002-11-25,576.48
2002-11-26,560.39
2002-11-27,580.12
2002-11-28,583.42
2002-11-29,580.58
2002-12-02,581.81
2002-12-03,564.99
2002-12-04,563.15
2002-12-05,552.26
2002-12-06,553.24
2002-12-09,537.36
2002-12-10,543.47
2002-12-11,549.67
2002-12-12,540.07
2002-12-13,530.9
2002-12-16,551.61
2002-12-17,544.74
2002-12-18,530.89
2002-12-19,526.25
2002-12-20,533.44
2002-12-23,537.28
2002-12-27,517.26
2002-12-30,521.95
2003-01-02,551.78
2003-01-03,547.4
2003-01-06,553.45
2003-01-07,547.99
2003-01-08,535.93
2003-01-09,545.21
2003-01-10,544.64
2003-01-13,546.53
2003-01-14,549.11
2003-01-15,542.61
2003-01-16,541.55
2003-01-17,523.06
2003-01-20,514.84
2003-01-21,509.18
2003-01-22,498.58
2003-01-23,496.57
2003-01-24,489.4
2003-01-27,471.87
2003-01-28,473.03
2003-01-29,479.43
2003-01-30,490.2
2003-01-31,492.38
2003-02-03,497.49
2003-02-04,478.56
2003-02-05,487.57
2003-02-06,475.39
2003-02-07,467.44
2003-02-10,465.72
2003-02-11,479.86
2003-02-12,468.1
2003-02-13,465.28
