Nom,CAC All-Tradable Gross Return
ISIN,QS0011131891
Symbole,CACTR
Source,https://markets.ft.com/data/indices/tearsheet/summary?s=CACTR%3APAR
Date,Close
2009-03-17,3239.04
2009-03-18,3234.52
2009-03-19,3252.33
2009-03-20,3268.56
2009-03-23,3353.22
2009-03-24,3361.14
2009-03-25,3381.17
2009-03-26,3381.49
2009-03-27,3326.42
2009-03-30,3192.21
2009-03-31,3292.77
2009-04-01,3332.97
2009-04-02,3502.42
2009-04-03,3471.3
2009-04-06,3445.09
2009-04-07,3412.68
2009-04-08,3433.34
2009-04-09,3500.9
2009-04-14,3533.48
2009-04-15,3520.99
2009-04-16,3580.86
2009-04-17,3643.6
2009-04-20,3500.35
2009-04-21,3508.09
2009-04-22,3569.43
2009-04-23,3572.92
2009-04-24,3678.23
2009-04-27,3677.14
2009-04-28,3619.1
2009-04-29,3695.73
2009-04-30,3748.62
2009-05-04,3847.59
2009-05-05,3839.11
2009-05-06,3910.52
2009-05-07,3880.3
2009-05-08,3947.13
2009-05-11,3872.76
2009-05-12,3860.88
2009-05-13,3773.83
2009-05-14,3777.47
2009-05-15,3795.87
2009-05-18,3881.23
2009-05-19,3932.82
2009-05-20,3975.6
2009-05-21,3878.2
2009-05-22,3893.9
2009-05-25,3901.63
2009-05-26,3938.91
2009-05-27,3978.83
2009-05-28,3942.61
2009-05-29,3962.59
2009-06-01,4081.47
2009-06-02,4090.5
2009-06-03,4016.91
2009-06-04,4018.83
2009-06-05,4049.66
2009-06-08,3992.7
2009-06-09,4000.02
2009-06-10,4025.42
2009-06-11,4050.46
2009-06-12,4042.19
2009-06-15,3920.96
2009-06-16,3912.21
2009-06-17,3844.89
2009-06-18,3877.9
2009-06-19,3911.68
2009-06-22,3793.94
2009-06-23,3785.13
2009-06-24,3866.05
2009-06-25,3847.99
2009-06-26,3816.21
2009-06-29,3888.42
2009-06-30,3834.77
